Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 0	Runtime: 1001.84
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               0.0580909       0.110887        0.11785         0.117349        0.054073        0.740286        0.52555         3.84101         7.35343e-05     0.000272082     0.000229249     0.000619759     0.00126585      0.00245368      0.00194525      0.00528135      622.924         165.793         263.784         35.7858         
1               0               0.0615803       0.123254        0.128687        0.128959        0.0611904       1.04275         0.672155        4.23183         7.82243e-05     0.000322917     0.000259259     0.000650525     0.00127028      0.00261993      0.00201466      0.00504444      618.587         145.419         245.922         39.226          
2               0               0.0648721       0.133832        0.137577        0.137082        0.067863        2.07355         0.761352        4.49083         8.2379e-05      0.000455363     0.000275926     0.000670136     0.00126987      0.0034025       0.0020056       0.00488859      618.989         86.2191         248.147         41.767          
3               0               0.067954        0.141887        0.145392        0.145174        0.074019        1.60284         0.83307         4.78282         8.60343e-05     0.000400355     0.00028863      0.000691579     0.00126607      0.00282165      0.00198518      0.0047638       622.711         125.37          253.279         43.9838         
4               0               0.0708845       0.14874         0.152379        0.151892        0.0799149       1.28003         0.886619        5.0105          8.93951e-05     0.000357775     0.000297761     0.000707849     0.00126114      0.00240537      0.00195408      0.00466021      627.588         172.519         261.406         45.961          
5               0               0.0736957       0.155769        0.158307        0.158227        0.0855595       1.97135         0.91401         5.22087         9.24984e-05     0.000443999     0.000302326     0.000722556     0.00125514      0.00285036      0.00190974      0.00456658      633.602         122.857         273.684         47.8649         
6               0               0.0762912       0.161256        0.164201        0.163945        0.0907683       2.26776         0.952895        5.39978         9.52724e-05     0.00047621      0.00030869      0.000734832     0.0012488       0.00295314      0.00187995      0.00448218      640.051         114.454         282.428         49.6845         
7               0               0.0788697       0.167628        0.170073        0.169215        0.0958771       1.64766         1.00598         5.58185         9.79169e-05     0.000405914     0.000317171     0.000747118     0.0012415       0.00242151      0.00186492      0.0044152       647.598         170.226         287             51.2035         
8               0               0.0812996       0.172183        0.174946        0.175695        0.100662        1.50699         1.02979         5.80274         0.00010033      0.0003882       0.000320903     0.000761757     0.00123408      0.00225457      0.0018343       0.00433567      655.411         196.369         296.662         53.0991         
9               0               0.0836709       0.17757         0.179909        0.179693        0.105285        2.19476         1.07163         5.92966         0.000102608     0.000468483     0.000327358     0.000770043     0.00122633      0.0026383       0.00181958      0.00428532      663.718         143.401         301.48          54.3543         
10              0               0.0859055       0.18217         0.184611        0.183673        0.109625        1.6994          1.10485         6.06377         0.000104702     0.000412238     0.000332392     0.000778702     0.00121881      0.00226292      0.0018005       0.0042396       671.939         194.922         307.902         55.5328         
11              0               0.0881025       0.186945        0.189331        0.189733        0.113834        2.11142         1.13886         6.27534         0.000106693     0.000459502     0.00033747      0.00079217      0.00121101      0.00245795      0.00178243      0.00417517      680.62          165.217         314.178         57.2599         
12              0               0.0902484       0.191571        0.193382        0.193191        0.11793         2.38807         1.15375         6.3775          0.000108596     0.000488679     0.000339669     0.000798592     0.0012033       0.0025509       0.00175647      0.00413369      689.375         153.395         323.534         58.415          
13              0               0.092281        0.194839        0.197742        0.197844        0.121811        1.56078         1.18945         6.53842         0.000110368     0.000395067     0.000344885     0.000808605     0.001196        0.00202766      0.00174412      0.00408708      697.812         242.779         328.132         59.7548         
14              0               0.0942402       0.199798        0.201418        0.201004        0.125496        2.36217         1.19422         6.6487          0.000112025     0.000486021     0.000345575     0.000815396     0.00118872      0.00243257      0.00171571      0.00405661      706.384         168.682         339.088         60.656          
15              0               0.0961321       0.203621        0.205274        0.206252        0.129157        1.80378         1.23083         6.84056         0.000113647     0.000424709     0.000350832     0.000827077     0.0011822       0.00208579      0.00170909      0.00401002      714.197         229.435         341.719         62.0735         
16              0               0.097945        0.208053        0.208342        0.207716        0.132537        6.8988          1.22826         6.85636         0.000115125     0.00083059      0.000350465     0.000828031     0.0011754       0.0039922       0.00168216      0.00398636      722.483         62.629          352.749         62.8127         
17              0               0.0996787       0.209909        0.212048        0.211258        0.135823        1.95538         1.26826         7.0274          0.000116543     0.000442197     0.000356127     0.000838296     0.00116919      0.00210661      0.00167947      0.00396812      730.184         224.922         353.881         63.3913         
18              0               0.101367        0.213616        0.215168        0.215329        0.138879        2.07944         1.28981         7.13917         0.000117847     0.000456009     0.000359139     0.000844936     0.00116257      0.00213472      0.00166911      0.00392393      738.517         219.038         358.287         64.8273         
19              0               0.102951        0.216262        0.21822         0.218287        0.141698        2.04394         1.31043         7.22245         0.000119037     0.0004521       0.000361999     0.00084985      0.00115625      0.00209051      0.00165887      0.00389327      746.616         228.399         362.723         65.8522         
20              0               0.104503        0.219836        0.220926        0.221729        0.144553        2.65399         1.3091          7.34109         0.00012023      0.000515169     0.000361815     0.000856801     0.00115049      0.00234342      0.00163772      0.00386418      754.103         181.76          372.152         66.8476         
21              0               0.106102        0.222793        0.224321        0.222781        0.147417        2.09511         1.33841         7.35885         0.000121415     0.000457724     0.000365843     0.000857838     0.00114433      0.00205448      0.00163089      0.00385058      762.254         236.481         375.276         67.3206         
22              0               0.10759         0.225727        0.226842        0.22886         0.150087        2.30895         1.35658         7.56922         0.00012251      0.000480515     0.000368318     0.000870012     0.00113868      0.00212875      0.00162367      0.00380151      769.832         220.268         378.619         69.0696         
23              0               0.109011        0.228508        0.22891         0.229058        0.152658        3.43683         1.34029         7.57891         0.000123555     0.000586245     0.0003661       0.000870569     0.00113342      0.00256554      0.00159932      0.00380064      776.997         151.65          390.239         69.1013         
24              0               0.110371        0.230571        0.231831        0.232375        0.155071        2.52769         1.36364         7.70193         0.000124527     0.000502762     0.000369276     0.000877607     0.00112826      0.00218051      0.00159286      0.00377668      784.114         209.935         393.407         69.9809         
25              0               0.111716        0.233174        0.234908        0.235413        0.157392        1.97219         1.41159         7.80654         0.000125456     0.000444094     0.000375711     0.000883546     0.00112299      0.00190456      0.0015994       0.00375318      791.501         275.176         390.198         70.8601         
26              0               0.113014        0.235978        0.237153        0.237303        0.159774        2.27333         1.41911         7.84917         0.000126402     0.000476795     0.000376711     0.000885956     0.00111846      0.0020205       0.00158847      0.00373343      797.916         244.501         395.586         71.6116         
27              0               0.11419         0.23835         0.23914         0.240057        0.16184         2.70113         1.42225         7.95754         0.000127216     0.000519724     0.000377127     0.00089205      0.00111408      0.00218051      0.00157701      0.003716        804.206         209.935         401.357         72.2851         
28              0               0.115367        0.239942        0.241276        0.24043         0.163961        3.10562         1.43223         7.96226         0.000128047     0.000557281     0.000378448     0.000892315     0.00110992      0.00232256      0.00156853      0.00371134      810.25          185.04          405.711         72.4668         
29              0               0.116551        0.243034        0.243164        0.243574        0.165887        3.74535         1.42088         8.0696          0.000128797     0.000611993     0.000376946     0.000898309     0.00110507      0.00251813      0.00155017      0.00368804      817.376         157.414         415.376         73.3853         
30              0               0.11769         0.244847        0.245054        0.244922        0.167845        3.97022         1.43477         8.11292         0.000129555     0.000630097     0.000378784     0.000900717     0.00110082      0.00257344      0.00154572      0.00367756      823.696         150.721         417.772         73.8039         
31              0               0.118794        0.245805        0.246934        0.24761         0.169788        2.16959         1.43714         8.20706         0.000130303     0.000465789     0.000379096     0.000905928     0.00109688      0.00189495      0.00153521      0.00365869      829.628         277.973         423.509         74.5672         
32              0               0.119895        0.247818        0.249192        0.249169        0.17159         2.19953         1.46725         8.2436          0.000130992     0.000468991     0.000383047     0.000907943     0.00109256      0.00189248      0.00153715      0.00364389      836.204         278.7           422.442         75.1745         
33              0               0.120989        0.250255        0.251054        0.251206        0.17345         2.52871         1.47026         8.30219         0.000131701     0.000502863     0.00038344      0.000911164     0.00108853      0.0020094       0.00152732      0.00362715      842.398         247.21          427.896         75.8697         
34              0               0.122091        0.252398        0.253396        0.254058        0.175417        2.5872          1.50493         8.38824         0.000132445     0.000508645     0.000387935     0.000915873     0.00108481      0.00201525      0.00153094      0.00360498      848.188         245.778         425.875         76.8058         
35              0               0.123068        0.254176        0.25546         0.254869        0.177166        2.11652         1.52051         8.45329         0.000133104     0.000460057     0.000389937     0.000919418     0.00108155      0.00180999      0.00152641      0.00360741      853.317         304.682         428.407         76.7025         
36              0               0.124012        0.256791        0.256558        0.256044        0.178744        3.55902         1.48453         8.42931         0.000133695     0.000596575     0.000385296     0.000918113     0.00107808      0.0023232       0.00150179      0.00358576      858.812         184.939         442.57          77.6312         
37              0               0.124854        0.25754         0.258754        0.258678        0.180085        2.62064         1.52731         8.56492         0.000134196     0.000511922     0.000390808     0.000925469     0.00107482      0.00198774      0.00151035      0.00357769      864.024         252.628         437.57          77.9822         
38              0               0.125795        0.259039        0.260042        0.26046         0.181796        2.17056         1.52524         8.63612         0.000134832     0.000465892     0.000390543     0.000929307     0.00107183      0.00179854      0.00150185      0.00356795      868.849         308.573         442.536         78.4085         
39              0               0.126645        0.260282        0.261512        0.261375        0.183187        2.12718         1.53157         8.66832         0.000135346     0.000461214     0.000391353     0.000931038     0.0010687       0.00177198      0.0014965       0.00356207      873.946         317.895         445.704         78.6673         
40              0               0.12753         0.261803        0.262943        0.262477        0.184496        2.22143         1.54615         8.66671         0.000135829     0.000471321     0.000393211     0.000930952     0.00106508      0.00180029      0.00149543      0.00354679      879.906         307.976         446.345         79.3466         
41              0               0.128328        0.263724        0.264326        0.265487        0.185789        2.44732         1.53977         8.78434         0.000136304     0.000494704     0.0003924       0.000937248     0.00106216      0.00187584      0.00148453      0.00353029      884.756         283.667         452.922         80.09           
42              0               0.129164        0.264467        0.265629        0.265941        0.187075        2.12611         1.54412         8.81469         0.000136775     0.000461098     0.000392953     0.000938866     0.00105893      0.0017435       0.00147933      0.00353035      890.158         328.364         456.11          80.0876         
43              0               0.129957        0.26605         0.267026        0.266031        0.1885          2.1607          1.55173         8.78908         0.000137295     0.000464834     0.00039392      0.000937501     0.00105646      0.00174717      0.00147521      0.00352403      894.315         326.988         458.66          80.3749         
44              0               0.130697        0.26776         0.268729        0.269191        0.189685        3.31599         1.57876         8.90301         0.000137726     0.000575847     0.000397336     0.000943558     0.00105378      0.00215061      0.00147858      0.00350517      898.873         215.813         456.576         81.2425         
45              0               0.131465        0.269398        0.269815        0.269951        0.190917        2.3836          1.57324         8.95156         0.000138173     0.000488221     0.000396641     0.000946127     0.00105102      0.00181227      0.00147005      0.00350481      903.604         303.917         461.888         81.2591         
46              0               0.132168        0.270549        0.270945        0.269674        0.1919          2.32791         1.55873         8.9405          0.000138528     0.000482484     0.000394807     0.000945542     0.00104812      0.00178335      0.00145715      0.00350625      908.605         313.853         470.1           81.1923         
47              0               0.132833        0.271312        0.2727          0.272201        0.19286         2.46318         1.59294         8.99958         0.000138874     0.000496304     0.000399117     0.000948661     0.00104548      0.00182927      0.00146357      0.00348515      913.212         298.293         465.984         82.1781         
48              0               0.133551        0.273126        0.273794        0.275175        0.193972        2.59812         1.6022          9.12021         0.000139274     0.000509718     0.000400275     0.000954998     0.00104285      0.00186624      0.00146196      0.00347051      917.811         286.594         467.014         82.8728         
49              0               0.134154        0.274012        0.274736        0.274719        0.194914        2.31787         1.59064         9.1077          0.000139612     0.000481443     0.000398828     0.000954343     0.00104068      0.00175702      0.00145168      0.00347389      921.65          323.332         473.654         82.7119         
50              0               0.134795        0.274994        0.275727        0.274767        0.195952        2.52042         1.59468         9.06464         0.000139983     0.000502038     0.000399334     0.000952084     0.00103849      0.00182563      0.00144829      0.00346506      925.548         299.484         475.867         83.1338         
51              0               0.135421        0.276574        0.277181        0.276227        0.196979        2.76931         1.61778         9.14142         0.000140349     0.000526242     0.000402217     0.000956108     0.00103639      0.00190272      0.0014511       0.00346131      929.291         275.709         474.032         83.3141         
