Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 0	Runtime: 1602.43
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               7.77228         18.1204         18.1209         18.1542         72.9369         1662.4          1138.1          18902           0.00270068      0.0128934       0.0106682       0.0434765       0.000347476     0.000711539     0.000588721     0.00239484      5168.59         1232.6          1800.54         108.81          
1               0               7.77243         18.1173         18.1196         18.0927         72.5161         1295.85         1031.46         18765.2         0.00269288      0.0113835       0.0101561       0.0433188       0.000346466     0.000628324     0.000560503     0.00239427      5198.77         1580.72         1986.4          108.862         
2               0               7.77251         18.1152         18.1162         18.0864         72.1065         1281.4          971.116         18741.1         0.00268527      0.0113199       0.00985452      0.043291        0.000345482     0.000624883     0.000543962     0.00239356      5228.41         1598.18         2109.04         108.926         
3               0               7.77226         18.1184         18.1153         18.121          71.7017         1186.54         947.465         18734           0.00267772      0.0108928       0.00973378      0.0432828       0.000344522     0.000601204     0.000537323     0.00238855      5257.6          1726.54         2161.48         109.384         
4               0               7.77157         18.1101         18.1124         18.1054         71.2977         1096.65         932.335         18731           0.00267016      0.0104721       0.00965575      0.0432793       0.000343581     0.000578247     0.000533101     0.00239041      5286.44         1866.36         2195.85         109.214         
5               0               7.77056         18.1036         18.1033         18.0965         70.9014         1166.37         906.182         18704.4         0.00266273      0.0107999       0.00951936      0.0432486       0.000342669     0.000596558     0.000525837     0.00238989      5314.61         1753.54         2256.94         109.261         
6               0               7.76985         18.1087         18.0981         18.0822         70.5215         1219.04         880.213         18657.4         0.00265559      0.011041        0.00938197      0.0431943       0.000341781     0.000609707     0.000518395     0.00238877      5342.26         1678.72         2322.21         109.363         
7               0               7.76869         18.1062         18.0921         18.1185         70.1387         1523.12         869.236         18709           0.00264837      0.0123415       0.00932328      0.0432539       0.000340903     0.000681615     0.000515323     0.00238728      5369.82         1343.21         2349.97         109.5           
8               0               7.76728         18.0925         18.089          18.092          69.7551         1073.06         856.375         18669.7         0.00264112      0.0103589       0.00925405      0.0432084       0.000340031     0.000572551     0.000511585     0.00238826      5397.39         1903.67         2384.43         109.41          
9               0               7.76581         18.0925         18.0969         18.073          69.3815         1206.34         873.154         18651.2         0.00263404      0.0109834       0.00934427      0.043187        0.000339184     0.000607065     0.000516347     0.00238959      5424.39         1693.37         2340.66         109.289         
10              0               7.76474         18.0942         18.0854         18.0867         69.0081         1141.22         841.096         18669.2         0.00262694      0.0106828       0.00917113      0.0432078       0.000338317     0.000590401     0.000507101     0.00238893      5452.24         1790.31         2426.79         109.349         
11              0               7.76299         18.0866         18.0846         18.1695         68.6395         1538.32         845.366         18735           0.00261991      0.0124029       0.00919438      0.0432839       0.000337488     0.000685754     0.00050841      0.00238223      5479.05         1327.04         2414.31         109.965         
12              0               7.76141         18.0845         18.0709         18.1194         68.271          1209.2          827.468         18697.1         0.00261287      0.0109964       0.00909653      0.0432401       0.000336649     0.000608054     0.00050338      0.0023864       5506.39         1687.86         2462.8          109.581         
13              0               7.75931         18.0702         18.0599         18.0143         67.9151         1409.25         811.533         18564.4         0.00260605      0.0118712       0.00900851      0.0430864       0.000335861     0.000656947     0.000498812     0.00239179      5532.24         1445.98         2508.11         109.088         
14              0               7.75733         18.0587         18.0594         18.0866         67.5641         993.47          811.743         18655.3         0.00259931      0.0099673       0.00900968      0.0431918       0.000335078     0.00055194      0.00049889      0.00238805      5558.15         2048.51         2507.33         109.429         
15              0               7.75548         18.0619         18.0501         18.1407         67.2145         1427.27         805.171         18684.8         0.00259258      0.0119468       0.00897313      0.0432259       0.000334289     0.000661436     0.000497124     0.00238282      5584.4          1426.42         2525.18         109.911         
16              0               7.75318         18.0415         18.0421         18.0186         66.8747         1090.88         797.223         18577.7         0.00258601      0.0104445       0.00892873      0.0431019       0.000333543     0.000578916     0.000494882     0.00239208      5609.43         1862.05         2548.11         109.061         
