		SP1_Transport	SP1_Transport	Sn_Transport
cell	group	adjoint	forward	iterations: 70
0	0	0.04330225	0.1233865	0.1186965
1	0	0.0454004	0.129309	0.129361
2	0	0.0474697	0.1350415	0.1380995
3	0	0.0495091	0.140591	0.1457695
4	0	0.0515176	0.145963	0.152696
5	0	0.0534943	0.1511635	0.1590535
6	0	0.05543855	0.1561985	0.1649505
7	0	0.0573498	0.161073	0.170461
8	0	0.05922755	0.165793	0.1756395
9	0	0.0610714	0.170363	0.1805265
10	0	0.06288105	0.174788	0.185155
11	0	0.06465635	0.179073	0.1895495
12	0	0.06639715	0.1832225	0.1937325
13	0	0.06810335	0.187241	0.197722
14	0	0.069775	0.1911325	0.2015335
15	0	0.0714122	0.1949015	0.205179
16	0	0.07301505	0.1985515	0.2086715
17	0	0.0745837	0.2020865	0.2120205
18	0	0.07611835	0.2055105	0.2152355
19	0	0.07761925	0.208827	0.2183245
20	0	0.07908675	0.2120395	0.221294
21	0	0.08052115	0.215151	0.224152
22	0	0.08192275	0.2181655	0.2269035
23	0	0.08329195	0.2210855	0.229554
24	0	0.0846292	0.223914	0.232109
25	0	0.0859349	0.2266545	0.2345735
26	0	0.08720945	0.229309	0.2369505
27	0	0.08845335	0.2318805	0.2392455
28	0	0.0896671	0.234372	0.2414615
29	0	0.09085115	0.236786	0.2436015
30	0	0.09200595	0.239125	0.2456695
31	0	0.09313205	0.241391	0.247669
32	0	0.09422995	0.2435865	0.2496015
33	0	0.09530015	0.2457135	0.251471
34	0	0.0963432	0.2477745	0.2532785
35	0	0.0973596	0.249772	0.255028
36	0	0.09834985	0.2517075	0.2567215
37	0	0.0993145	0.2535825	0.2583605
38	0	0.10025425	0.2553995	0.259947
39	0	0.101169	0.2571605	0.2614835
40	0	0.1020595	0.2588665	0.2629715
41	0	0.102927	0.2605195	0.264413
42	0	0.1037715	0.2621215	0.2658095
43	0	0.1045935	0.2636745	0.267163
44	0	0.1053935	0.2651795	0.2684745
45	0	0.1061715	0.2666375	0.2697455
46	0	0.1069285	0.2680505	0.2709775
47	0	0.1076655	0.26942	0.2721715
48	0	0.108382	0.270747	0.2733295
49	0	0.109079	0.272033	0.2744525
50	0	0.109757	0.2732795	0.275542
51	0	0.110416	0.2744875	0.276598
52	0	0.111057	0.275658	0.2776215
53	0	0.1116805	0.2767925	0.2786155
54	0	0.1122865	0.277892	0.279579
55	0	0.112875	0.2789575	0.280514
56	0	0.1134475	0.27999	0.2814215
57	0	0.114004	0.2809905	0.2823015
58	0	0.1145445	0.2819605	0.2831555
59	0	0.11507	0.2829005	0.2839845
60	0	0.1155805	0.2838115	0.284789
61	0	0.1160765	0.2846945	0.2855695
62	0	0.1165585	0.28555	0.286327
63	0	0.1170265	0.286379	0.2870625
64	0	0.117481	0.2871825	0.287776
65	0	0.1179225	0.287961	0.2884685
66	0	0.1183515	0.2887155	0.2891405
67	0	0.118768	0.289447	0.289793
68	0	0.1191725	0.290156	0.2904265
69	0	0.1195655	0.2908425	0.2910415
70	0	0.1199465	0.2915075	0.291638
71	0	0.1203165	0.2921525	0.2922175
72	0	0.120676	0.2927775	0.29278
73	0	0.1210245	0.293383	0.293326
74	0	0.121363	0.2939695	0.293856
75	0	0.121692	0.294538	0.2943705
76	0	0.122011	0.295089	0.29487
77	0	0.12232	0.2956225	0.295355
78	0	0.12262	0.296139	0.295825
79	0	0.1229115	0.2966395	0.296282
80	0	0.123194	0.2971245	0.2967255
81	0	0.123468	0.2975945	0.2971555
82	0	0.123734	0.29805	0.2975735
83	0	0.1239915	0.298491	0.2979785
84	0	0.1242415	0.298918	0.298372
85	0	0.124484	0.2993315	0.2987535
86	0	0.124719	0.299732	0.299124
87	0	0.124947	0.3001195	0.2994835
88	0	0.1251675	0.3004945	0.2998325
89	0	0.1253815	0.300858	0.3001705
90	0	0.125589	0.30121	0.3004985
91	0	0.12579	0.3015505	0.3008175
92	0	0.125985	0.3018805	0.301126
93	0	0.126174	0.3022	0.3014255
94	0	0.1263565	0.3025085	0.301716
95	0	0.1265335	0.302807	0.3019975
96	0	0.126705	0.303096	0.30227
97	0	0.1268705	0.3033755	0.3025345
98	0	0.127031	0.303646	0.302791
99	0	0.1271865	0.3039075	0.3030395
100	0	0.127337	0.3041605	0.3032795
101	0	0.1274825	0.304405	0.303513
102	0	0.127623	0.304641	0.3037385
103	0	0.127759	0.304869	0.303957
104	0	0.1278905	0.3050895	0.3041685
105	0	0.1280175	0.3053025	0.304373
106	0	0.1281405	0.305508	0.3045705
107	0	0.1282595	0.3057065	0.3047625
108	0	0.128374	0.305898	0.304947
109	0	0.128484	0.3060825	0.305126
110	0	0.1285905	0.3062605	0.3052985
111	0	0.1286935	0.306432	0.3054655
112	0	0.1287925	0.306597	0.3056265
113	0	0.128888	0.3067565	0.3057815
114	0	0.12898	0.30691	0.305931
115	0	0.1290685	0.3070575	0.3060755
116	0	0.129154	0.3071995	0.3062145
117	0	0.129236	0.3073355	0.3063485
118	0	0.1293145	0.307466	0.306477
119	0	0.12939	0.3075915	0.306601
120	0	0.1294625	0.307712	0.3067195
121	0	0.129532	0.3078275	0.3068335
122	0	0.1295985	0.307938	0.306943
123	0	0.129662	0.3080435	0.307047
124	0	0.1297225	0.3081445	0.3071475
125	0	0.1297805	0.308241	0.307243
126	0	0.129836	0.3083325	0.307334
127	0	0.1298885	0.30842	0.307421
128	0	0.1299385	0.308503	0.307504
129	0	0.129986	0.3085815	0.307582
130	0	0.130031	0.308656	0.3076565
131	0	0.1300735	0.308726	0.307727
132	0	0.1301135	0.308792	0.307793
133	0	0.130151	0.3088545	0.307855
134	0	0.130186	0.308913	0.307914
135	0	0.130219	0.308967	0.307968
136	0	0.1302495	0.3090175	0.308019
137	0	0.1302775	0.3090645	0.3080655
138	0	0.1303035	0.3091075	0.3081085
139	0	0.130327	0.3091465	0.3081485
140	0	0.1303485	0.309182	0.308184
141	0	0.130368	0.309214	0.308216
142	0	0.130385	0.309242	0.3082445
143	0	0.1304	0.3092665	0.3082695
144	0	0.1304125	0.3092875	0.3082905
145	0	0.130423	0.309305	0.308308
146	0	0.1304315	0.309319	0.3083225
147	0	0.130438	0.3093295	0.308333
148	0	0.1304425	0.3093365	0.3083405
149	0	0.1304445	0.30934	0.308344
150	0	0.1304445	0.30934	0.308344
151	0	0.1304425	0.3093365	0.3083405
152	0	0.130438	0.3093295	0.308333
153	0	0.1304315	0.309319	0.3083225
154	0	0.130423	0.309305	0.308308
155	0	0.1304125	0.3092875	0.3082905
156	0	0.1304	0.3092665	0.3082695
157	0	0.130385	0.309242	0.3082445
158	0	0.130368	0.309214	0.308216
159	0	0.1303485	0.309182	0.308184
160	0	0.130327	0.3091465	0.3081485
161	0	0.1303035	0.3091075	0.3081085
162	0	0.1302775	0.3090645	0.3080655
163	0	0.1302495	0.3090175	0.308019
164	0	0.130219	0.308967	0.307968
165	0	0.130186	0.308913	0.307914
166	0	0.130151	0.3088545	0.307855
167	0	0.1301135	0.308792	0.307793
168	0	0.1300735	0.308726	0.307727
169	0	0.130031	0.308656	0.3076565
170	0	0.129986	0.3085815	0.307582
171	0	0.1299385	0.308503	0.307504
172	0	0.1298885	0.30842	0.307421
173	0	0.129836	0.3083325	0.307334
174	0	0.1297805	0.308241	0.307243
175	0	0.1297225	0.3081445	0.3071475
176	0	0.129662	0.3080435	0.307047
177	0	0.1295985	0.307938	0.306943
178	0	0.129532	0.3078275	0.3068335
179	0	0.1294625	0.307712	0.3067195
180	0	0.12939	0.3075915	0.306601
181	0	0.1293145	0.307466	0.306477
182	0	0.129236	0.3073355	0.3063485
183	0	0.129154	0.3071995	0.3062145
184	0	0.1290685	0.3070575	0.3060755
185	0	0.12898	0.30691	0.305931
186	0	0.128888	0.3067565	0.3057815
187	0	0.1287925	0.306597	0.3056265
188	0	0.1286935	0.306432	0.3054655
189	0	0.1285905	0.3062605	0.3052985
190	0	0.128484	0.3060825	0.305126
191	0	0.128374	0.305898	0.304947
192	0	0.1282595	0.3057065	0.3047625
193	0	0.1281405	0.305508	0.3045705
194	0	0.1280175	0.3053025	0.304373
195	0	0.1278905	0.3050895	0.3041685
196	0	0.127759	0.304869	0.303957
197	0	0.127623	0.304641	0.3037385
198	0	0.1274825	0.304405	0.303513
199	0	0.127337	0.3041605	0.3032795
200	0	0.1271865	0.3039075	0.3030395
201	0	0.127031	0.303646	0.302791
202	0	0.1268705	0.3033755	0.3025345
203	0	0.126705	0.303096	0.30227
204	0	0.1265335	0.302807	0.3019975
205	0	0.1263565	0.3025085	0.301716
206	0	0.126174	0.3022	0.3014255
207	0	0.125985	0.3018805	0.301126
208	0	0.12579	0.3015505	0.3008175
209	0	0.125589	0.30121	0.3004985
210	0	0.1253815	0.300858	0.3001705
211	0	0.1251675	0.3004945	0.2998325
212	0	0.124947	0.3001195	0.2994835
213	0	0.124719	0.299732	0.299124
214	0	0.124484	0.2993315	0.2987535
215	0	0.1242415	0.298918	0.298372
216	0	0.1239915	0.298491	0.2979785
217	0	0.123734	0.29805	0.2975735
218	0	0.123468	0.2975945	0.2971555
219	0	0.123194	0.2971245	0.2967255
220	0	0.1229115	0.2966395	0.296282
221	0	0.12262	0.296139	0.295825
222	0	0.12232	0.2956225	0.295355
223	0	0.122011	0.295089	0.29487
224	0	0.121692	0.294538	0.2943705
225	0	0.121363	0.2939695	0.293856
226	0	0.1210245	0.293383	0.293326
227	0	0.120676	0.2927775	0.29278
228	0	0.1203165	0.2921525	0.2922175
229	0	0.1199465	0.2915075	0.291638
230	0	0.1195655	0.2908425	0.2910415
231	0	0.1191725	0.290156	0.2904265
232	0	0.118768	0.289447	0.289793
233	0	0.1183515	0.2887155	0.2891405
234	0	0.1179225	0.287961	0.2884685
235	0	0.117481	0.2871825	0.287776
236	0	0.1170265	0.286379	0.2870625
237	0	0.1165585	0.28555	0.286327
238	0	0.1160765	0.2846945	0.2855695
