Monte Carlo	Total particles: 10087365	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 1	Runtime: 1025.28
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               0.0584826       0.111659        0.118835        0.118322        0.113148        3.48034         1.19135         7.96265         0.000106371     0.000589944     0.000345159     0.000892337     0.00181885      0.00528346      0.00290453      0.00754157      294.823         34.9396         115.612         17.1488         
1               0               0.0620145       0.124778        0.129678        0.129846        0.127847        3.38015         1.45924         8.66553         0.00011307      0.000581391     0.000382        0.000930888     0.00182328      0.00465939      0.00294576      0.00716915      293.393         44.9259         112.398         18.9767         
2               0               0.0653635       0.134175        0.138707        0.137458        0.141289        2.67539         1.61107         9.16362         0.000118865     0.000517242     0.000401381     0.000957268     0.00181852      0.00385498      0.00289373      0.00696407      294.93          65.6314         116.477         20.1108         
3               0               0.0684371       0.1426          0.14656         0.145953        0.153458        4.59038         1.75924         9.65711         0.000123878     0.000677523     0.000419433     0.000982706     0.0018101       0.00475121      0.00286186      0.00673304      297.681         43.2063         119.086         21.5146         
4               0               0.0933612       0.189822        0.195221        0.153094        0.183161        3.95693         1.90685         10.0508         0.000135337     0.000629041     0.000436675     0.00100253      0.00144961      0.00331384      0.00223682      0.0065485       464.147         88.8162         194.937         22.7443         
5               0               0.0758945       0.160816        0.162483        0.157459        0.121282        39.4276         1.35855         7.07487         0.000110128     0.00198564      0.000368585     0.000841122     0.00145107      0.0123473       0.00226845      0.00534186      463.211         6.39756         189.538         34.1799         
6               0               0.0769168       0.162566        0.165304        0.165405        0.119993        2.61193         1.27659         7.00665         0.000109541     0.000511071     0.000357294     0.000837057     0.00142415      0.00314377      0.00216143      0.00506065      480.886         98.6856         208.772         38.084          
7               0               0.0793102       0.167551        0.170636        0.170937        0.123155        1.91317         1.27817         7.08103         0.000110975     0.000437398     0.000357515     0.000841488     0.00139926      0.00261054      0.00209519      0.0049228       498.15          143.119         222.183         40.2467         
8               0               0.081682        0.172552        0.175285        0.175087        0.12644         2.07114         1.2447          7.03008         0.000112446     0.000455098     0.000352803     0.000838456     0.00137663      0.00263746      0.00201275      0.00478879      514.662         140.212         240.756         42.5308         
9               0               0.0840361       0.177833        0.18049         0.180505        0.129952        1.97624         1.27084         7.16913         0.000113996     0.000444549     0.000356488     0.000846707     0.00135652      0.00249981      0.00197511      0.00469077      530.035         156.077         250.018         44.3269         
10              0               0.0863297       0.182962        0.185318        0.184807        0.133425        2.22645         1.30732         7.18207         0.00011551      0.000471853     0.000361569     0.000847471     0.00133801      0.00257896      0.00195107      0.0045857       544.8           146.645         256.218         46.3814         
11              0               0.0885403       0.187824        0.19026         0.191296        0.136609        2.19649         1.32445         7.37582         0.00011688      0.000468667     0.00036393      0.000858826     0.00132008      0.00249525      0.00191281      0.00448952      559.703         156.649         266.571         48.39           
12              0               0.0905602       0.1937          0.194191        0.194996        0.139591        13.1634         1.32958         7.44466         0.000118149     0.00114732      0.000364634     0.000862824     0.00130464      0.00592317      0.00187771      0.00442483      573.025         27.8001         276.63          49.8153         
13              0               0.0924862       0.195913        0.197706        0.197278        0.142421        2.10843         1.35431         7.46175         0.00011934      0.000459176     0.00036801      0.000863814     0.00129036      0.00234377      0.0018614       0.00437867      585.78          177.552         281.498         50.871          
14              0               0.0943953       0.199219        0.201319        0.201487        0.145302        2.2085          1.34211         7.57512         0.000120541     0.000469947     0.000366348     0.000870352     0.00127699      0.00235895      0.00181974      0.00431964      598.113         175.275         294.535         52.2709         
