		SP1_Transport	SP1_Transport
cell	group	adjoint	forward
0	0	1.19318E-06	14.7666
1	0	1.19318E-06	14.7665
2	0	1.19319E-06	14.76615
3	0	1.1932E-06	14.7656
4	0	1.19321E-06	14.76485
5	0	1.19322E-06	14.76385
6	0	1.19323E-06	14.7626
7	0	1.19325E-06	14.76115
8	0	1.19327E-06	14.7595
9	0	1.1933E-06	14.75765
10	0	1.19332E-06	14.7556
11	0	1.19335E-06	14.75325
12	0	1.19338E-06	14.7507
13	0	1.19342E-06	14.74795
14	0	1.19345E-06	14.745
15	0	1.19349E-06	14.7418
16	0	1.19353E-06	14.73835
17	0	1.19358E-06	14.73475
18	0	1.19363E-06	14.7309
19	0	1.19368E-06	14.7268
20	0	1.19373E-06	14.7225
21	0	1.19379E-06	14.718
22	0	1.19384E-06	14.7133
23	0	1.19391E-06	14.70835
24	0	1.19397E-06	14.70315
25	0	1.19404E-06	14.69775
26	0	1.19411E-06	14.69215
27	0	1.19418E-06	14.6863
28	0	1.19426E-06	14.68025
29	0	1.19433E-06	14.674
30	0	1.19442E-06	14.6675
31	0	1.1945E-06	14.66075
32	0	1.19459E-06	14.6538
33	0	1.19468E-06	14.64665
34	0	1.19477E-06	14.63925
35	0	1.19486E-06	14.63165
36	0	1.19496E-06	14.62385
37	0	1.19506E-06	14.6158
38	0	1.19516E-06	14.60755
39	0	1.19527E-06	14.5991
40	0	1.19538E-06	14.5904
41	0	1.19549E-06	14.58145
42	0	1.1956E-06	14.5723
43	0	1.19572E-06	14.56295
44	0	1.19583E-06	14.55335
45	0	1.19596E-06	14.54355
46	0	1.19608E-06	14.5335
47	0	1.19621E-06	14.52325
48	0	1.19634E-06	14.5128
49	0	1.19647E-06	14.5021
50	0	1.19661E-06	14.4912
51	0	1.19675E-06	14.48005
52	0	1.19689E-06	14.4687
53	0	1.19703E-06	14.45715
54	0	1.19718E-06	14.44535
55	0	1.19733E-06	14.43335
56	0	1.19748E-06	14.4211
57	0	1.19764E-06	14.4086
58	0	1.19779E-06	14.39595
59	0	1.19795E-06	14.38305
60	0	1.19812E-06	14.3699
61	0	1.19828E-06	14.3566
62	0	1.19845E-06	14.34305
63	0	1.19862E-06	14.32925
64	0	1.1988E-06	14.31525
65	0	1.19897E-06	14.301
66	0	1.19915E-06	14.28655
67	0	1.19934E-06	14.2719
68	0	1.19952E-06	14.257
69	0	1.19971E-06	14.2419
70	0	1.1999E-06	14.22655
71	0	1.20009E-06	14.211
72	0	1.20029E-06	14.19525
73	0	1.20049E-06	14.17925
74	0	1.20069E-06	14.163
75	0	1.2009E-06	14.14655
76	0	1.2011E-06	14.1299
77	0	1.20131E-06	14.113
78	0	1.20153E-06	14.0959
79	0	1.20174E-06	14.07855
80	0	1.20196E-06	14.061
81	0	1.20218E-06	14.04325
82	0	1.2024E-06	14.02525
83	0	1.20263E-06	14.007
84	0	1.20286E-06	13.98855
85	0	1.20309E-06	13.9699
86	0	1.20333E-06	13.951
87	0	1.20356E-06	13.9319
88	0	1.2038E-06	13.9126
89	0	1.20405E-06	13.89305
90	0	1.20429E-06	13.87325
91	0	1.20454E-06	13.85325
92	0	1.20479E-06	13.83305
93	0	1.20505E-06	13.8126
94	0	1.2053E-06	13.7919
95	0	1.20556E-06	13.771
96	0	1.20583E-06	13.7499
97	0	1.20609E-06	13.7286
98	0	1.20636E-06	13.70705
99	0	1.20663E-06	13.68525
100	0	1.22744E-06	12.65815
