Monte Carlo	Total particles: 107449665	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 1	Runtime: 2180.73
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               7.7652          18.106          18.0855         18.118          72.4255         2861.21         1126.81         18788.8         0.0026912       0.0169151       0.0106151       0.043346        0.000346572     0.000934226     0.000586942     0.00239242      3817.78         525.404         1331.09         80.1165         
1               0               7.76502         18.0813         18.0849         18.0635         71.9965         1275.18         1024.75         18666.6         0.00268322      0.0112924       0.010123        0.0432049       0.000345552     0.000624536     0.000559746     0.00239183      3840.35         1175.66         1463.58         80.1559         
2               0               7.76464         18.0882         18.086          18.178          71.5791         1241.65         968.895         18762.9         0.00267543      0.0111429       0.00984325      0.0433162       0.000344565     0.000616032     0.000544246     0.00238289      3862.37         1208.34         1548.13         80.7586         
3               0               7.7643          18.078          18.0831         18.137          71.1566         1220.27         952.305         18708.3         0.00266752      0.0110466       0.00975861      0.0432531       0.000343562     0.000611053     0.000539655     0.0023848       3884.96         1228.12         1574.58         80.629          
4               0               7.76413         18.0849         18.0833         18.0607         70.764          2585.4          920.76          18614.4         0.00266015      0.0160792       0.00959562      0.0431444       0.000342621     0.000889094     0.000530634     0.00238886      3906.34         580.099         1628.57         80.3555         
5               0               7.76374         18.0827         18.0828         18.15           70.3777         1620.92         898.301         18721.4         0.00265288      0.0127315       0.00947787      0.0432682       0.000341701     0.000704071     0.000524138     0.00238393      3927.4          925.047         1669.19         80.6884         
6               0               7.76293         18.0834         18.0855         18.0378         69.9895         1200.51         897.548         18558.4         0.00264555      0.0109568       0.0094739       0.0430794       0.000340793     0.0006059       0.00052384      0.00238828      3948.35         1249.09         1671.09         80.3946         
7               0               7.76228         18.083          18.0735         18.1072         69.6114         1260.51         871.654         18644.7         0.0026384       0.0112273       0.00933624      0.0431795       0.0003399       0.000620872     0.000516571     0.00238466      3969.13         1189.58         1718.45         80.639          
8               0               7.76143         18.0734         18.0769         18.0801         69.2329         1136.53         865.62          18607.2         0.00263122      0.0106608       0.00930387      0.0431361       0.000339012     0.000589864     0.000514682     0.00238583      3989.95         1317.94         1731.09         80.5599         
9               0               7.76051         18.0756         18.0762         18.1214         68.863          1247.12         856.228         18629.8         0.00262418      0.0111675       0.00925326      0.0431623       0.000338145     0.000617821     0.000511903     0.00238184      4010.44         1201.36         1749.93         80.8298         
10              0               7.75906         18.0753         18.0685         18.0662         68.4966         1205.93         840.532         18573.9         0.00261718      0.0109815       0.00916805      0.0430974       0.000337307     0.00060754      0.000507405     0.00238552      4030.39         1242.36         1781.1          80.5804         
11              0               7.75775         18.0608         18.0632         18.0857         68.1322         1005.96         826.748         18571.8         0.00261021      0.0100298       0.00909257      0.043095        0.000336465     0.000555334     0.000503375     0.00238283      4050.57         1486.92         1809.73         80.7628         
12              0               7.75623         18.0607         18.0647         18.0319         67.7775         1633.95         823.842         18523.1         0.00260341      0.0127826       0.00907657      0.0430385       0.000335654     0.000707757     0.000502447     0.0023868       4070.18         915.437         1816.42         80.494          
13              0               7.75437         18.0653         18.0648         17.9484         67.4222         1196.48         836.965         18431.5         0.00259658      0.0109384       0.00914858      0.0429319       0.000334853     0.000605491     0.000506432     0.00239197      4089.66         1250.78         1787.95         80.147          
14              0               7.75257         18.0549         18.0569         18.0364         67.0708         1030.21         817.514         18527.4         0.0025898       0.0101499       0.00904165      0.0430435       0.000334057     0.000562171     0.000500732     0.00238647      4109.18         1450.98         1828.88         80.5163         
15              0               7.75069         18.0509         18.0502         18.0874         66.7254         1053.57         810.709         18575           0.00258313      0.0102644       0.00900394      0.0430987       0.000333277     0.000568635     0.000498829     0.00238281      4128.44         1418.18         1842.87         80.7642         
16              0               7.74813         18.0348         18.0449         17.9849         66.3752         1086.6          816.128         18460.5         0.00257634      0.010424        0.00903398      0.0429657       0.000332511     0.000577995     0.000500638     0.00238899      4147.49         1372.62         1829.57         80.3466         
17              0               7.7459          18.0464         18.0423         18.084          66.0255         1069.63         801.232         18577.5         0.00256954      0.0103423       0.00895116      0.0431017       0.00033173      0.000573096     0.000496121     0.00238341      4167.05         1396.18         1863.04         80.7233         
18              0               7.74362         18.0326         18.0328         18.0302         65.6912         1023.58         801.944         18502.6         0.00256303      0.0101172       0.00895513      0.0430147       0.000330986     0.000561049     0.000496602     0.0023857       4185.79         1456.79         1859.43         80.5684         
19              0               7.74094         18.0205         18.0266         18.0365         65.358          930.449         799.126         18491.3         0.00255652      0.00964598      0.00893938      0.0430016       0.00033026      0.000535277     0.0004959       0.00238414      4204.22         1600.44         1864.7          80.6741         
20              0               7.7382          18.0307         18.0207         18.0642         65.0198         1237.84         795.873         18532.1         0.0025499       0.0111258       0.00892117      0.0430489       0.000329521     0.00061705      0.000495052     0.00238311      4223.1          1204.36         1871.09         80.7439         
21              0               7.73545         18.0212         18.0109         17.9663         64.689          1268.26         790.349         18411.6         0.0025434       0.0112617       0.00889016      0.0429088       0.000328798     0.000624916     0.000493598     0.00238829      4241.68         1174.23         1882.13         80.3936         
22              0               7.73222         17.995          17.9953         18.0181         64.3608         1042.36         780.161         18479.5         0.00253694      0.0102096       0.00883267      0.0429878       0.0003281       0.000567357     0.000490832     0.00238581      4259.75         1424.57         1903.4          80.561          
23              0               7.72911         17.9841         17.9873         18.0384         64.045          997.51          777.453         18485           0.00253071      0.00998754      0.00881733      0.0429942       0.000327426     0.000555354     0.000490198     0.00238348      4277.31         1486.82         1908.33         80.719          
24              0               7.72631         17.9798         17.9771         18.0152         63.7361         1015.93         772.867         18482.4         0.0025246       0.0100793       0.00879128      0.0429911       0.000326754     0.000560594     0.000489026     0.00238638      4294.93         1459.15         1917.49         80.5224         
25              0               7.72264         17.9761         17.9605         17.9601         63.4115         1138.17         759.819         18402.9         0.00251816      0.0106685       0.00871676      0.0428986       0.000326076     0.000593484     0.000485329     0.00238855      4312.81         1301.91         1946.81         80.3762         
26              0               7.719           17.9545         17.9511         17.9231         63.0963         908.49          763.725         18388.5         0.0025119       0.00953147      0.00873913      0.0428818       0.000325417     0.000530869     0.000486829     0.00239254      4330.28         1627.13         1934.84         80.1083         
27              0               7.71537         17.9379         17.9397         17.9102         62.7804         918.34          755.777         18330.9         0.0025056       0.009583        0.00869354      0.0428146       0.000324755     0.000534232     0.000484597     0.00239052      4347.97         1606.71         1952.7          80.244          
28              0               7.7121          17.9393         17.9342         17.9669         62.4807         1198.41         753.725         18383.9         0.00249961      0.0109472       0.00868173      0.0428765       0.000324116     0.000610238     0.000484087     0.00238642      4365.12         1231.4          1956.82         80.5203         
29              0               7.7084          17.936          17.9193         17.962          62.1793         1079.74         750.433         18407.8         0.00249358      0.0103911       0.00866275      0.0429043       0.000323488     0.000579342     0.000483431     0.00238862      4382.08         1366.24         1962.13         80.3718         
30              0               7.70413         17.9075         17.9047         17.9539         61.8767         995.393         743.262         18393.2         0.0024875       0.00997694      0.00862127      0.0428873       0.000322879     0.000557138     0.000481508     0.00238875      4398.62         1477.31         1977.83         80.3629         
31              0               7.6999          17.9046         17.8948         17.8781         61.5756         1081.88         747.027         18317.8         0.00248144      0.0104014       0.00864307      0.0427994       0.00032227      0.000580933     0.000482994     0.00239396      4415.28         1358.77         1965.69         80.0135         
32              0               7.69565         17.8898         17.8851         17.8933         61.2749         986.587         747.054         18322.3         0.00247538      0.00993271      0.00864323      0.0428046       0.000321659     0.000555215     0.000483265     0.00239221      4432.05         1487.56         1963.48         80.1308         
33              0               7.69081         17.8751         17.8665         17.8495         60.976          999.07          741.24          18289.1         0.00246933      0.00999535      0.00860953      0.0427658       0.000321075     0.000559176     0.000481882     0.00239591      4448.19         1466.56         1974.77         79.8836         
34              0               7.68598         17.8566         17.8497         17.8778         60.6782         929.765         738.727         18301           0.00246329      0.00964243      0.00859492      0.0427797       0.000320492     0.000539992     0.000481515     0.00239289      4464.4          1572.62         1977.78         80.0852         
35              0               7.68149         17.8296         17.831          17.8677         60.3844         861.033         722.328         18297.3         0.00245732      0.00927919      0.00849899      0.0427753       0.000319902     0.000520437     0.00047664      0.002394        4480.87         1693.02         2018.44         80.0106         
36              0               7.67637         17.8309         17.8172         17.843          60.094          918.047         728.272         18290.2         0.00245141      0.00958148      0.00853388      0.0427671       0.000319345     0.000537353     0.000478969     0.00239685      4496.54         1588.1          1998.86         79.8206         
37              0               7.67096         17.8038         17.7942         17.7716         59.7968         926.883         714.648         18183.5         0.00244534      0.00962748      0.00845368      0.0426421       0.000318779     0.000540754     0.000475082     0.00239945      4512.51         1568.19         2031.71         79.6478         
